Becher,Fiole jaugée,Pipette,Éprouvette,Burette
9.149499999999999744e+00,1.011814999999999998e+01,9.911899999999999267e+00,9.731799999999999784e+00,1.018999999999999950e+01
9.947900000000000631e+00,9.947100000000000719e+00,1.003500000000000014e+01,1.014160000000000039e+01,1.009340000000000082e+01
9.793300000000000338e+00,9.953500000000000014e+00,1.000660000000000061e+01,9.950699999999999434e+00,1.001699999999999946e+01
9.800200000000000244e+00,9.949500000000000455e+00,9.958999999999999631e+00,9.920799999999999841e+00,1.008900000000000041e+01
8.470000000000000639e+00,9.970000000000000639e+00,1.016000000000000014e+01,9.970000000000000639e+00,9.990000000000000213e+00
9.140000000000000568e+00,9.859999999999999432e+00,1.001999999999999957e+01,9.939999999999999503e+00,9.949999999999999289e+00
9.060000000000000497e+00,1.007000000000000028e+01,1.016999999999999993e+01,1.003999999999999915e+01,1.000999999999999979e+01
9.693300000000000693e+00,9.938399999999999679e+00,9.937900000000000844e+00,9.706300000000000594e+00,9.907600000000000406e+00
9.787100000000000577e+00,9.948399999999999466e+00,9.927500000000000213e+00,9.679000000000000270e+00,9.977000000000000313e+00
1.056760000000000055e+01,9.947100000000000719e+00,9.951100000000000279e+00,9.683099999999999596e+00,9.952500000000000568e+00
9.744099999999999540e+00,9.884800000000000253e+00,9.023999999999999133e+00,1.005240000000000045e+01,9.063599999999999213e+00
1.048739999999999917e+01,9.933699999999999974e+00,9.718799999999999883e+00,9.880399999999999849e+00,9.968400000000000816e+00
7.958400000000000141e+00,9.969300000000000495e+00,9.941300000000000026e+00,9.615899999999999892e+00,1.003459999999999930e+01
7.959800000000000431e+00,9.935900000000000176e+00,9.855499999999999261e+00,9.675100000000000477e+00,9.900399999999999423e+00
8.348300000000000054e+00,9.924300000000000566e+00,9.946400000000000574e+00,9.640100000000000335e+00,1.002730000000000032e+01
7.253599999999999604e+00,9.998799999999999244e+00,9.990099999999999980e+00,9.506899999999999906e+00,9.962500000000000355e+00
9.082300000000000040e+00,9.823700000000000543e+00,9.861200000000000188e+00,9.661500000000000199e+00,9.152400000000000091e+00
1.083430000000000071e+01,9.898699999999999832e+00,9.851000000000000867e+00,9.639200000000000657e+00,9.913299999999999557e+00
1.041039999999999921e+01,9.861399999999999721e+00,1.014179999999999993e+01,9.427199999999999136e+00,9.863099999999999312e+00
7.200400000000000134e+00,1.003309999999999924e+01,1.003880000000000017e+01,9.656299999999999883e+00,9.962500000000000355e+00
9.629699999999999704e+00,1.003159999999999918e+01,9.990500000000000824e+00,9.882199999999999207e+00,9.962300000000000821e+00
9.960000000000000853e+00,9.830999999999999517e+00,1.002899999999999991e+01,9.699999999999999289e+00,9.880000000000000782e+00
9.760999999999999233e+00,9.932000000000000384e+00,1.001999999999999957e+01,9.730000000000000426e+00,9.750000000000000000e+00
9.683999999999999275e+00,9.922000000000000597e+00,1.002999999999999936e+01,9.929999999999999716e+00,9.949999999999999289e+00
8.606199999999999406e+00,9.957399999999999807e+00,9.988699999999999690e+00,9.739900000000000446e+00,9.945600000000000662e+00
1.020979999999999954e+01,9.962899999999999423e+00,1.013669999999999938e+01,9.831200000000000827e+00,1.017029999999999923e+01
8.900199999999999889e+00,9.977700000000000458e+00,1.002009999999999934e+01,9.706400000000000361e+00,9.968999999999999417e+00
8.451100000000000279e+00,1.006060000000000088e+01,9.960000000000000853e+00,1.002999999999999936e+01,1.011309999999999931e+01
9.333500000000000796e+00,1.004190000000000005e+01,1.007499999999999929e+01,1.002319999999999922e+01,1.020500000000000007e+01
9.349460000000000548e+00,1.006589999999999918e+01,9.988599999999999923e+00,9.908799999999999386e+00,1.016949999999999932e+01
8.031900000000000261e+00,9.929199999999999804e+00,9.957900000000000418e+00,9.760899999999999466e+00,1.004090000000000060e+01
7.637900000000000134e+00,9.940300000000000580e+00,9.860900000000000887e+00,9.728899999999999437e+00,9.981199999999999406e+00
7.843499999999999694e+00,9.937099999999999156e+00,9.888899999999999579e+00,9.776899999999999480e+00,1.001829999999999998e+01
8.757199999999999207e+00,9.816000000000000725e+00,9.949299999999999145e+00,9.770899999999999253e+00,9.860900000000000887e+00
8.051600000000000534e+00,9.762100000000000222e+00,9.881199999999999761e+00,9.889799999999999258e+00,9.848800000000000665e+00
8.413399999999999324e+00,9.829399999999999693e+00,9.925000000000000711e+00,9.749299999999999855e+00,9.926299999999999457e+00
1.006230000000000047e+01,9.915900000000000603e+00,9.961399999999999366e+00,9.808899999999999508e+00,9.932700000000000529e+00
9.640599999999999170e+00,9.918400000000000105e+00,9.837600000000000122e+00,9.727700000000000458e+00,9.855800000000000338e+00
9.050200000000000244e+00,9.918799999999999173e+00,9.837899999999999423e+00,9.728300000000000836e+00,9.888799999999999812e+00
1.068210000000000015e+01,9.845200000000000173e+00,9.955000000000000071e+00,9.785800000000000054e+00,9.981799999999999784e+00
1.119510000000000005e+01,9.845700000000000784e+00,9.844300000000000495e+00,9.786599999999999966e+00,9.943699999999999761e+00
1.118759999999999977e+01,9.825200000000000600e+00,9.934599999999999653e+00,9.816499999999999559e+00,1.063760000000000083e+01
1.001110000000000078e+01,9.877200000000000202e+00,9.891000000000000014e+00,9.441800000000000637e+00,9.619400000000000617e+00
8.845599999999999241e+00,9.849000000000000199e+00,9.753700000000000259e+00,9.781399999999999650e+00,1.027289999999999992e+01
1.027689999999999948e+01,9.845700000000000784e+00,9.862399999999999167e+00,9.520799999999999486e+00,1.019369999999999976e+01
9.393900000000000361e+00,9.843299999999999272e+00,9.651300000000000878e+00,9.615800000000000125e+00,9.760799999999999699e+00
1.131780000000000008e+01,9.880200000000000315e+00,9.732400000000000162e+00,9.787800000000000722e+00,9.902400000000000091e+00
9.397000000000000242e+00,9.850099999999999412e+00,9.827500000000000568e+00,9.897299999999999542e+00,9.930799999999999628e+00
9.985099999999999199e+00,9.795299999999999230e+00,9.898699999999999832e+00,9.579900000000000304e+00,9.763199999999999434e+00
9.992100000000000648e+00,9.793100000000000804e+00,9.897899999999999920e+00,9.578900000000000858e+00,9.990099999999999980e+00
1.011320000000000086e+01,9.811500000000000554e+00,9.898199999999999221e+00,9.578799999999999315e+00,9.734500000000000597e+00
8.977499999999999147e+00,9.898799999999999599e+00,9.846799999999999997e+00,9.594599999999999795e+00,9.803900000000000503e+00
1.049900000000000055e+01,9.912800000000000722e+00,9.828799999999999315e+00,9.725699999999999790e+00,9.708299999999999486e+00
1.120899999999999963e+01,9.952099999999999724e+00,9.834500000000000242e+00,9.570600000000000662e+00,9.761300000000000310e+00
1.066000000000000014e+01,1.006659999999999933e+01,9.967999999999999972e+00,1.005949999999999989e+01,1.096659999999999968e+01
1.027040000000000042e+01,1.000569999999999915e+01,1.009399999999999942e+01,1.000109999999999921e+01,9.198800000000000310e+00
1.095429999999999993e+01,9.970200000000000173e+00,1.009800000000000075e+01,1.014630000000000010e+01,9.956099999999999284e+00
1.065290000000000070e+01,9.638400000000000745e+00,9.938200000000000145e+00,9.897500000000000853e+00,9.828799999999999315e+00
1.099249999999999972e+01,9.621399999999999508e+00,1.011410000000000053e+01,9.833399999999999253e+00,9.928300000000000125e+00
9.662499999999999645e+00,9.629599999999999937e+00,9.977199999999999847e+00,9.769600000000000506e+00,9.935700000000000642e+00
7.867300000000000182e+00,9.886699999999999378e+00,1.001870000000000083e+01,9.614200000000000301e+00,9.909700000000000841e+00
9.002299999999999969e+00,9.829499999999999460e+00,1.009050000000000047e+01,9.726300000000000168e+00,1.018009999999999948e+01
8.953799999999999315e+00,9.862099999999999866e+00,1.009789999999999921e+01,9.765299999999999869e+00,1.026709999999999923e+01
9.396100000000000563e+00,9.988799999999999457e+00,9.923099999999999810e+00,9.752399999999999736e+00,9.407700000000000173e+00
8.879899999999999238e+00,1.009800000000000075e+01,9.928200000000000358e+00,9.709300000000000708e+00,1.004710000000000036e+01
9.372199999999999420e+00,9.960599999999999454e+00,9.978099999999999525e+00,9.657899999999999707e+00,9.972099999999999298e+00
1.069699999999999918e+01,9.955999999999999517e+00,9.981999999999999318e+00,9.682999999999999829e+00,9.965999999999999304e+00
9.807999999999999829e+00,9.961999999999999744e+00,9.964999999999999858e+00,9.624000000000000554e+00,9.938000000000000611e+00
9.894000000000000128e+00,9.951999999999999957e+00,9.964000000000000412e+00,9.881000000000000227e+00,1.004400000000000048e+01
9.564799999999999969e+00,1.001800000000000068e+01,9.860699999999999577e+00,1.003769999999999918e+01,9.634700000000000486e+00
1.029940000000000033e+01,9.973300000000000054e+00,1.013620000000000054e+01,9.842200000000000060e+00,1.014530000000000065e+01
9.070800000000000196e+00,1.001490000000000080e+01,1.006799999999999962e+01,9.828699999999999548e+00,1.035829999999999984e+01
9.236800000000000566e+00,9.897199999999999775e+00,9.945199999999999818e+00,9.609999999999999432e+00,9.503399999999999181e+00
8.813100000000000378e+00,9.905799999999999272e+00,9.970599999999999241e+00,9.615800000000000125e+00,1.004940000000000033e+01
8.321799999999999642e+00,9.963200000000000500e+00,9.924300000000000566e+00,9.711700000000000443e+00,9.982599999999999696e+00
1.017329999999999934e+01,9.924899999999999167e+00,1.009060000000000024e+01,9.582399999999999807e+00,9.894600000000000506e+00
9.588499999999999801e+00,9.842200000000000060e+00,9.951000000000000512e+00,9.881800000000000139e+00,1.004129999999999967e+01
1.076849999999999952e+01,9.841300000000000381e+00,9.944300000000000139e+00,9.791000000000000369e+00,1.014760000000000062e+01
9.201499999999999346e+00,9.941700000000000870e+00,9.969099999999999184e+00,9.820700000000000429e+00,9.964199999999999946e+00
9.881000000000000227e+00,9.960300000000000153e+00,9.935600000000000875e+00,9.830700000000000216e+00,9.884000000000000341e+00
9.436199999999999477e+00,9.985699999999999577e+00,9.973399999999999821e+00,9.916800000000000281e+00,1.000609999999999999e+01
9.968600000000000350e+00,9.375700000000000145e+00,9.798299999999999343e+00,9.884600000000000719e+00,9.789099999999999469e+00
9.300000000000000711e+00,9.935000000000000497e+00,9.923099999999999810e+00,9.721500000000000696e+00,9.936899999999999622e+00
9.978999999999999204e+00,9.939000000000000057e+00,1.004299999999999926e+01,9.829000000000000625e+00,1.000699999999999967e+01
9.896000000000000796e+00,9.942999999999999616e+00,1.013000000000000078e+01,9.862999999999999545e+00,9.996999999999999886e+00
1.005000000000000071e+01,9.949999999999999289e+00,1.005400000000000027e+01,9.814999999999999503e+00,1.008200000000000074e+01
9.911300000000000665e+00,9.395699999999999719e+00,9.958099999999999952e+00,9.768800000000000594e+00,9.869799999999999685e+00
8.532999999999999474e+00,9.368299999999999628e+00,9.953799999999999315e+00,9.839199999999999946e+00,9.978099999999999525e+00
9.682969999999999189e+00,9.897999999999999687e+00,9.919999999999999929e+00,9.953699999999999548e+00,9.724600000000000577e+00
